,city,room_price,image_count,adult_occupancy,child_occupancy,property_id,num_amenities,zones,descr_len,deluxe,num_simhotel,wifi,ac,breakfast,service_value,acceptance_rate,response_label,Apartment,Homestay,Hotel,House,Lodge,Resort,Spa,Villa
0,Kalimpong,3167.0,3.0,3.0,2.0,67368.0,1.0,2.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,Kanpur,815.0,0.0,2.0,2.0,28733.0,2.0,0.0,103.0,0.0,6.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,Jodhpur,1624.0,18.0,2.0,2.0,53742.0,4.0,3.0,106.0,1.0,14.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,Jalpaiguri,3509.0,9.0,1.0,2.0,15468.0,7.0,2.0,126.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,Kanpur,5802.0,5.0,2.0,2.0,47032.0,2.0,0.0,126.0,1.0,3.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,Jammu,1400.0,60.0,2.0,2.0,61528.0,5.0,3.0,103.0,1.0,12.0,1.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,Jodhpur,4062.0,0.0,2.0,2.0,28525.0,1.0,3.0,91.0,0.0,3.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,Velankanni,2878.0,12.0,1.0,2.0,22029.0,2.0,1.0,102.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,Jammu,979.0,32.0,2.0,2.0,61628.0,2.0,3.0,94.0,0.0,9.0,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Jodhpur,2445.0,41.0,2.0,2.0,54666.0,6.0,3.0,119.0,0.0,12.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,Kapurthala,1039.0,1.0,2.0,2.0,59664.0,6.0,3.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,Mandarmani,2809.0,7.0,2.0,2.0,18340.0,2.0,2.0,116.0,1.0,6.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,Digha,950.0,13.0,2.0,2.0,51152.0,2.0,2.0,99.0,1.0,11.0,0.0,1.0,0.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,Digha,756.0,11.0,2.0,2.0,75464.0,2.0,2.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,Kakinada,3986.0,8.0,1.0,2.0,20969.0,9.0,1.0,140.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
